	id	title	total.gross	distributer	genre	release.date	runtime	budget	MPAA.rating
1	10000bc.htm	"10,000 B.C. "	94784201	Warner Bros.	Period Adventure	7/3/08	1 hrs. 49 min.	$105 million	PG-13
2	10itemsorless.htm	10 Items or Less 	83291	ThinkFilm	Comedy	1/12/06	1 hrs. 22 min.	N/A	R
3	10thandwolf.htm	10th &amp; Wolf 	54702	ThinkFilm	Crime Drama	18/8/06	1 hrs. 50 min.	$8 million	R
4	11thhour.htm	The 11th Hour 	707343	Warner Independent	Documentary	17/8/07	1 hrs. 33 min.	N/A	PG
5	12.htm	12	125120	Sony Classics	Foreign	4/3/09	2 hrs. 39 min.	N/A	PG-13
6	1208eastofbucharest.htm	12:08 East of Bucharest 	91881	Tartan	Foreign	6/6/07	1 hrs. 29 min.	N/A	Unrated
7	127hours.htm	127 Hours 	18335230	Fox Searchlight	Drama	5/11/10	1 hrs. 33 min.	$18 million	R
8	12rounds.htm	12 Rounds 	12234694	Fox	Action / Adventure	27/3/09	1 hrs. 48 min.	N/A	PG-13
9	13assassins.htm	13 Assassins 	802778	Magnolia	Foreign	29/4/11	2 hrs. 6 min.	N/A	R
10	13b.htm	13B 	12449	AdLabs	Foreign	6/3/09	2 hrs. 26 min.	N/A	Unrated
11	13tzameti.htm	13 Tzameti 	121390	Palm	Foreign	28/7/06	1 hrs. 26 min.	N/A	Unrated
12	1408.htm	1408	71985628	MGM (Weinstein)	Horror	22/6/07	1 hrs. 34 min.	$25 million	PG-13
13	17again.htm	17 Again 	64167069	Warner Bros. (New Line)	Fantasy Comedy	17/4/09	1 hrs. 42 min.	N/A	PG-13
14	2006shortfilms.htm	The 2006 Academy Award Nominated Short Films 	335090	Magnolia	Unknown	16/2/07	3 hrs. 9 min.	N/A	Unrated
15	2007shortfilms.htm	2007 Academy Award Nominated Short Films 	508695	Magnolia	Unknown	15/2/08	N/A	N/A	Unrated
16	2011oscarshorts.htm	2011 Oscar Shorts 	1352152	Shorts International	Unknown	11/2/11	N/A	N/A	Unrated
17	2012.htm	2012	166112167	Sony / Columbia	Action Drama	13/11/09	2 hrs. 38 min.	$200 million	PG-13
18	20centimeters.htm	20 Centimeters 	6635	TLA Releasing	Foreign	27/10/06	1 hrs. 53 min.	N/A	Unrated
19	21.htm	21	81159365	Sony / Columbia	Drama	28/3/08	2 hrs. 3 min.	$35 million	PG-13
20	27dresses.htm	27 Dresses 	76808654	Fox	Romantic Comedy	18/1/08	1 hrs. 47 min.	$30 million	PG-13
21	28weekslater.htm	28 Weeks Later 	28638916	Fox Atomic	Horror	11/5/07	1 hrs. 31 min.	N/A	R
22	2daysinparis.htm	2 Days in Paris 	4433994	Samuel Goldwyn	Comedy / Drama	10/8/07	1 hrs. 34 min.	N/A	R
23	300.htm	300	210614939	Warner Bros.	Period Action	9/3/07	1 hrs. 57 min.	$65 million	R
24	30daysofnight.htm	30 Days of Night 	39568996	Sony / Columbia	Horror	19/10/07	1 hrs. 53 min.	$30 million	R
25	30minutesorless.htm	30 Minutes or Less 	37053924	Sony / Columbia	Action Comedy	12/8/11	1 hrs. 23 min.	$28 million	R
26	310toyuma.htm	3:10 to Yuma 	53606916	Lionsgate	Western	7/9/07	1 hrs. 57 min.	$55 million	R
27	35andticking.htm	35 and Ticking 	113794	Image Entertainment	Romantic Comedy	20/5/11	1 hrs. 30 min.	N/A	R
28	35shotsofrum.htm	35 Shots of Rum 	177511	Cinema Guild	Foreign	16/9/09	1 hrs. 40 min.	N/A	Unrated
29	3backyards.htm	3 Backyards 	43073	Screen Media	Drama	11/3/11	1 hrs. 28 min.	N/A	R
30	3d06.htm	Tim Burton's The Nightmare Before Christmas in 3-D 	8700869	Buena Vista	Animation	20/10/06	1 hrs. 16 min.	N/A	PG
31	3idiots.htm	3 Idiots 	6532874	Reliance Big Pictures	Comedy / Drama	23/12/09	2 hrs. 40 min.	N/A	PG
32	44inchchest.htm	44 Inch Chest 	39033	Image Entertainment	Drama	15/1/10	1 hrs. 35 min.	N/A	R
33	49up.htm	49 Up 	241772	First Run	Documentary	6/10/06	2 hrs. 15 min.	N/A	Unrated
34	4months3weeks2days.htm	"4 Months, 3 Weeks, 2 Days "	1198208	IFC	Foreign	25/1/08	1 hrs. 53 min.	N/A	Unrated
35	500daysofsummer.htm	(500) Days of Summer 	32391374	Fox Searchlight	Romance	17/7/09	1 hrs. 35 min.	$7.5 million	PG-13
36	51birchstreet.htm	51 Birch Street 	84689	Truly Indie	Documentary	18/10/06	1 hrs. 30 min.	N/A	Unrated
37	5daysofwar.htm	5 Days of War 	17479	Anchor Bay Films	Action Drama	19/8/11	1 hrs. 53 min.	$12 million	R
38	5thquarter.htm	The 5th Quarter 	408159	Rocky Mountain Pictures	Drama	25/3/11	1 hrs. 41 min.	N/A	PG-13
39	7khoonmaaf.htm	7 Khoon Maaf 	270207	UTV Communications	Foreign	18/2/11	2 hrs. 17 min.	N/A	Unrated
40	88minutes.htm	88 Minutes 	17213467	Sony / Columbia	Thriller	18/4/08	1 hrs. 48 min.	N/A	R
