"","id","role","playerid","name","minor"
"1","10000bc.htm","Director","rolandemmerich.htm","Roland Emmerich",""
"2","10000bc.htm","Writer","rolandemmerich.htm","Roland Emmerich",""
"3","10000bc.htm","Writer","haraldkloser.htm","Harald Kloser",""
"4","10000bc.htm","Producer","markgordon.htm","Mark Gordon",""
"5","10000bc.htm","Producer","thomastull.htm","Thomas Tull",""
"13","10itemsorless.htm","Director","bradsilberling.htm","Brad Silberling",""
"14","10itemsorless.htm","Actor","morganfreeman.htm","Morgan Freeman",""
"15","10itemsorless.htm","Actor","jonahhill.htm","Jonah Hill",""
"16","10thandwolf.htm","Actor","jamesmarsden.htm","James Marsden",""
"17","10thandwolf.htm","Actor","giovanniribisi.htm","Giovanni Ribisi",""
"18","10thandwolf.htm","Actor","piperperabo.htm","Piper Perabo",""
"19","10thandwolf.htm","Actor","valkilmer.htm","Val Kilmer",""
"20","10thandwolf.htm","Composer","aaronzigman.htm","Aaron Zigman",""
"27","11thhour.htm","Writer","leonardodicaprio.htm","Leonardo DiCaprio",""
"28","11thhour.htm","Actor","leonardodicaprio.htm","Leonardo DiCaprio","*"
"29","11thhour.htm","Producer","leonardodicaprio.htm","Leonardo DiCaprio",""
"30","127hours.htm","Director","dannyboyle.htm","Danny Boyle",""
"31","127hours.htm","Writer","simonbeaufoy.htm","Simon Beaufoy",""
"32","127hours.htm","Writer","dannyboyle.htm","Danny Boyle",""
"33","127hours.htm","Actor","jamesfranco.htm","James Franco",""
"34","127hours.htm","Producer","dannyboyle.htm","Danny Boyle",""
"35","127hours.htm","Composer","arrahman.htm","A.R. Rahman",""
"36","12rounds.htm","Director","rennyharlin.htm","Renny Harlin",""
"37","12rounds.htm","Actor","johncena.htm","John Cena",""
"38","12rounds.htm","Producer","markgordon.htm","Mark Gordon",""
"39","12rounds.htm","Composer","trevorrabin.htm","Trevor Rabin",""
"51","1408.htm","Director","mikaelhafstrom.htm","Mikael Hafstrom",""
"52","1408.htm","Writer","mattgreenberg.htm","Matt Greenberg",""
"53","1408.htm","Writer","scottalexander.htm","Scott Alexander",""
"54","1408.htm","Writer","larrykaraszewski.htm","Larry Karaszewski",""
"55","1408.htm","Actor","johncusack.htm","John Cusack",""
"56","1408.htm","Actor","samuelljackson.htm","Samuel L. Jackson",""
"57","1408.htm","Producer","lorenzodibonaventura.htm","Lorenzo di Bonaventura",""
"58","1408.htm","Cinematographer","benoitdelhomme.htm","Benoit Delhomme",""
"59","1408.htm","Composer","gabrielyared.htm","Gabriel Yared",""
"74","17again.htm","Director","burrsteers.htm","Burr Steers",""
"75","17again.htm","Actor","zacefron.htm","Zac Efron",""
"76","17again.htm","Actor","lesliemann.htm","Leslie Mann",""
"77","17again.htm","Actor","matthewperry.htm","Matthew Perry",""
"78","17again.htm","Actor","michelletrachtenberg.htm","Michelle Trachtenberg",""
"79","17again.htm","Composer","rolfekent.htm","Rolfe Kent",""
"96","2012.htm","Director","rolandemmerich.htm","Roland Emmerich",""
"97","2012.htm","Actor","johncusack.htm","John Cusack",""
"98","2012.htm","Actor","woodyharrelson.htm","Woody Harrelson",""
"99","2012.htm","Actor","thandienewton.htm","Thandie Newton",""
"100","2012.htm","Actor","amandapeet.htm","Amanda Peet",""
"101","2012.htm","Producer","markgordon.htm","Mark Gordon",""
